"Title","Short Description","Long Description","Grades Used","Overall Rating","Number of Ratings","Price","URL"
"Behavior Management Student Breaks: Break Cards, Token Boards, Reward Charts","Student Leveled Breaks: Behavior InterventionGiving students breaks within the school day is super important for classroom management. It is especially important to give students that struggle with behavior expectations breaks. Breaks in your classroom can look different for each student. This can b...","Student Leveled Breaks: Behavior Intervention
Giving students breaks within the school day is super important for classroom management. It is especially important to give students that struggle with behavior expectations breaks. Breaks in your classroom can look different for each student. This can be due to many different things such as: time of the day, behavior the student is showing before the break, what the student is working for, or simply the student earning the break.
This product is designed to help you create a system in your classroom for student breaks.
What is included in this product?
Teacher Note: Q&A's about student breaks
3 Different Break Zone Signs
3 Student Break Logs
2 Break Choice Menus
Leveled Breaks : Green, Yellow, and Red
Leveled Break Passes
Break Pass
Social Story: Taking a Break
4 Weekly Break Charts
Working For Green Break Visual Boards
Break Tokens
Break Boards
Break Choice Cards
I'm Working For Break Tokens
I'm Working For Break Boards
Black and White Printer Friendly Version Included!
This purchase is for ONE classroom only.
This is a single classroom download, which means this product CANNOT be shared from teacher to teacher. If you are interested in sharing it with other classrooms, you can purchase additional licenses using the Teachers Pay Teachers tool located in your account under ""My Purchases.""
If you have any questions please feel free to email me at BrookeReaganTPT@gmail.com
Brooke Reagan
© Brooke Reagan 2019","PreK: 5, K: 27, 1st: 32, 2nd: 26, 3rd: 18, 4th: 11, 5th: 13","4.85","138","6.00","https://www.teacherspayteachers.com/Product/Behavior-Management-Student-Breaks-Break-Cards-Token-Boards-Reward-Charts-4540173"
"Desk Pets Starter Kit | Classroom Behavior Management and Incentive System","Introducing... desk pets! My Desk Pets Starter Kit has everything you need for your students' first desk pet - including desk pet labels, desk pet daycare, desk pet money, and MORE! Say goodbye to wandering minds with your brand-new classroom behavior management system. Not only will desk pets encoura...","Introducing… desk pets! My Desk Pets Starter Kit has everything you need for your students’ first desk pet - including desk pet labels, desk pet daycare, desk pet money, and MORE! Say goodbye to wandering minds with your brand-new classroom behavior management system.
Not only will desk pets encourage students to stay on task and do their best learning, but your students’ new friends will inject joy into your classroom community! 
What You Get: 
Desk Pet Adoption Center sign (U.S. & Canadian spelling, various sizes) 
Pet Store & Pet Shop signs 
Pet Daycare signs 
Desk Pet Habitat labels (option to handwrite OR type names) 
Desk Pet Reward punch cards 
Letter to Parents (editable) 
Dek Pet Adoption Certificate 
Student Agreement: How I Will Show Kindness and Respect For My Desk Pet 
Writing Activity: Meet My Desk Pet 
I hope you and your students have fun with your new desk pets! 
Learn How to Implement Desk Pets! 
Read the blog post & take a listen to Beginning Teacher Talk Podcast (Ep. #122) 
Why Teachers Like You LOVE This Resource: 
“I used this resource to set up a desk pet program in my kindergarten classroom and my kiddos LOVED IT!  They were obsessed!  This pack includes everything you need and more to get started.” - Courtney Z 
“LOVE! This was so easy to print and implement with my students.  They truly enjoyed having desks pets.  I can't wait to use this resource again next year.” - Angela W. 
More Classroom Management Resources: 
Desk Pets Starter Kit
Learning Centers Starter Kit 
Classroom Economy & Home Communication Books
Get Organized For The Upcoming Year With More Of My Planning Resources: 
Student Data Binder 
14 First Week Activities 
Positivity Packet 
Editable Newsletter Template
Looking for more great ideas and tips for your first, second, and third year in the classroom? Just because you’re a beginning elementary teacher, there’s no need for you to struggle like one. Subscribe to Beginning Teacher Talk, the podcast where we talk about all the things about teaching you wish you learned in college, share teaching stories and classroom management tips and tricks, and help you to succeed in the classroom:
Click here to listen on iTunes.
Click here to listen on Spotify.
Click here to listen on Google Play.
Want support from a  community of passionate educators dedicated to working smarter? Join my Private Beginning Teacher Talk FB Group for tips, tricks, and exclusive contests. 
Get credit to spend on TpT resources: 
Log in, and go to “My Purchases”.
Click “Provide Feedback” beside your purchase
Each time you give feedback, TpT will give you credits towards future purchases!
Click on the green ★ to follow my store and get notifications about new resources and freebies! 
I hope to connect with you soon!
XO,
Lori","K: 52, 1st: 64, 2nd: 41, 3rd: 29, 4th: 22, 5th: 14, 6th: 2","4.85","224","7.00","https://www.teacherspayteachers.com/Product/Desk-Pets-Starter-Kit-Classroom-Behavior-Management-and-Incentive-System-6983107"
"Behavior Clip Chart - Behavior Management by WOWorksheets | TPT","Behavior Chart This behavior chart has behavior levels that you can pick and choose to create a behavior chart to meet your classroom needs. Use all or some.Also includedWeekly behavior charts (staple to going home folder)Behavior bracelets to send home students with on their armsSticker chartsClass...","Behavior Chart This behavior chart has behavior levels that you can pick and choose to create a behavior chart to meet your classroom needs. Use all or some.
Also included
Weekly behavior charts (staple to going home folder)
Behavior bracelets to send home students with on their arms
Sticker charts
Class rewards charts
Behavior bucks
Self evaluations
Behavior reflections sheets
Problem jar labels and recording sheets (reduce interruptions and have students write their problems down, discuss later and/or use for class discussion on problem solving)
Compliments jar labels and recording sheets
Questions please email me at w.o.worksheets@gmail.com before your purchase.
Shop more Classroom Management & Beginning of the Year
Labels for Centers, Pocket Chart & Classroom
Hall Passes
Classroom Lucky Duck
All About Me
LET'S STAY CONNECTED: Facebook • Instagram • Pinterest","PreK: 21, K: 28, 1st: 21, 2nd: 11, 3rd: 9, 4th: 5, 5th: 3","4.79","99","1.00","https://www.teacherspayteachers.com/Product/Behavior-Clip-Chart-Behavior-Management-2535014"
"Class Cookies Reward System and Token Board Behavior Charts Management Bundle","Stop correcting the same behaviors over and over again. Focusing on negative behavior can be totally exhausting. These adorable cookie behavior charts are the perfect behavior management solution with whole class and individual behavior!Upgrade your classroom management tool kit with this whole cl...","Stop correcting the same behaviors over and over again. Focusing on negative behavior can be totally exhausting. These adorable cookie behavior charts are the perfect behavior management solution with whole class and individual behavior!
Upgrade your classroom management tool kit with this whole class reward system and individual token boards. You can motivate students to work together to make positive behavior choices while helping yourself to focus on the good things happening in your classroom. It's also a great visual behavior tracker for individual students or your whole class.
Best of all they are seriously low-prep and they truly work! With easy to cut out pieces, all you need to do is print, laminate, cut, and add hook and loop so the pieces will stick. Then you're ready to start earning cookies towards a reward!
If you have students who need more support than your whole class plan, the individual behavior charts are a great option and they match with the whole class incentive charts so no one feels left out.
What makes this reward system work? The key is in the visual supports that are included to help you to be as consistent as possible. The cookies are adorable, but the picture cards for behavior goals and reward options help to keep everyone on the same page and to set a specific goal. This holds everyone accountable.
These charts will help you to make the switch from correcting unwanted behavior to focusing on the positive and watching for kids to meet your goal. The positivity is contagious and soon your students will be ""tattling"" in a positive way to tell you about kids who are making good choices!
►►►Please note this is a growing bundle. That means more sets will be added after you purchase. When new sets are added, you will be able to download them from your purchases tab here on TPT.
What's included in this growing bundle?
School Themed Cookie Reward System
Fall Themed Cookie Reward System
Halloween Cookie Reward System
Thanksgiving Cookie Reward System
Christmas Cookie Reward System
Winter Cookie Reward System
Valentine's Day Cookie Reward System
St. Patrick's Day Cookie Reward System
Easter Cookie Reward System
Spring Cookie Reward System
Summer Cookie Reward System

What's included in each pack?
►Whole Class Reward System
Printable Cookie Sheet Behavior Charts with 10, 8 and make your own goal options
Themed Character and Plain Cookie Options (all in color or black & white)
35 Behavior Goal Picture Cards
35 Reward Choice Picture Cards
Digital Cookie Sheet Boards in PowerPoint (can be uploaded to Google Slides)
►Individual Token Boards
Token Board Options with 2, 3, 5, or 10 spaces to earn
39 Behavior Goal Picture Cards
60+ Individual Reward Choice Picture Cards
Visual Reward Menu Options
♥ Click Here to Follow Me and be the first to know about new products and freebies! Most new products are 50% off for the first 48 hours! ♥
★★★ Please leave feedback for this product. Your comments are appreciated and you earn TPT credits toward a future purchase for every feedback you leave! ★★★
→ You can contact me with any questions or concerns at TeachingExceptionalKinders@gmail.com
© Amy Murray - Teaching Exceptional Kinders","PreK: 6, K: 21, 1st: 11, 2nd: 7, 3rd: 1, 4th: 1, 5th: 1","4.95","43","18.00","https://www.teacherspayteachers.com/Product/Class-Cookies-Reward-System-and-Token-Board-Behavior-Charts-Management-Bundle-10370124"
"Calm Down Corner Positive Behavior Classroom Management SEL | TPT","Have you ever had a student that needs a significant amount of behavior support? A child who does not work? A child who gets angry easy? A child who is disruptive? They need a space where they calm down. They need visuals and tools to support their needs. When a child needs a break, they need a plac...","Have you ever had a student that needs a significant amount of behavior support? A child who does not work? A child who gets angry easy? A child who is disruptive? They need a space where they calm down. They need visuals and tools to support their needs. When a child needs a break, they need a place to go so that we can continue to teach the other kids, and then check in on the child when our lesson over we can pause it.
You get
First - Then Schedule
Token Board
Calm Down expectations
Directional Cards
Breathing Cards
Calm Down Book
Calm Down Choice Board
Calm Down journal (tracing and blank)
Play Dough Task Cards
Calm Down Kit label and ideas
Feeling Clip Card with colors
Teacher Tips for Implementing
I have used all of these resources in my classroom. I have written tips for you to successfully implement them. I highly recommend you also use an individual schedule for students with behavior needs.","Early Childhood: 10, PreK: 23, K: 99, 1st: 69, 2nd: 37, 3rd: 14, 4th: 8","4.84","304","4.00","https://www.teacherspayteachers.com/Product/Calm-Down-Corner-Positive-Behavior-Classroom-Management-SEL-3961072"
"Desk Pets Shop Classroom Management Behavior Incentive Reward System Money Unit","Desk pets are a fun educational and motivating classroom management reward system for your students! This ultimate bundle includes editable parts and has EVERYTHING you need to get started with desk pets! Manage student positive behavior and create your classroom community while having fun and rewar...","Desk pets are a fun educational and motivating classroom management reward system for your students! This ultimate bundle includes editable parts and has EVERYTHING you need to get started with desk pets! Manage student positive behavior and create your classroom community while having fun and rewarding positive behavior. This can also be used as a unit activity for money concepts, or a saving/spending unit!
What makes this desk pet bundle different from any others? This colorful desk pet bundle has absolutely everything you will need to begin and more! (The only thing you need to supply is your organizational containers!) There are multiple components for you to pick and choose from and choose whether to include or not with your students, including editable and differentiated components to adapt for your students’ needs.
What is included: (368 pages)
Full detailed tips and instructions
Printable Desk Pet Bundle & Editable Desk Pet Bundle Components (Color)
4 colorful pet shop fronts (with 4 wording choices)
Pet shop banners
Pet shop bunting
Shopping hours sign (editable)
Shop department store labels
Pet homes sign
4x6 Pet home labels (3 wording choices) (editable for names)
Pet application (color and B&W) (editable)
Pet contract (color and B&W) (editable)
Pet application & contract (combined) (color and B&W) (editable)
Desk pet family letter (editable)
Pet rules signs (editable)
Pet adoption certificate (editable for info)
Pet ID (editable for info)
Pet playground
Pet daycare
Pet coins
Pet dollars
Pet pockets (editable for names)
Price lists (editable for prices)
Price labels (editable)
Price dollar & coin exchange (editable)
Checkout mats (3 diverse hand options)
1-10 pet coins & dollars counting mat
1-20 pet coins & dollars counting mat
21-40 pet coins & dollars counting mat
Pet passport with vacation pages and passport pages (stamps included)
Editable Pet Bundle Components (see above which components are editable)
Pet Journal
Color and B&W Journal Cover
39 journal pages: (differentiated options: picture only, picture & text, or text only)
Owner info page
Pet info page
Wishlist page
Shopping list page
Pet Inventory page
Pet pictures page
Pet friends page
Pet favorites page
All about my pet page
My animal research page
Pet adventure journal page
Pet journal page
My goals page
Pet passport stamps page
Pet coins tracker
Pet dollars tracker
Pet money tracker
Pet money savings goals
Editable Presentation for Introduction to Students
Multiple picture-rich slides for all components of bundle- (editable)
Add in and take out any slides you need to custom create your introduction for students!
Printable Pets, Foods & Items
These items are printable if you want to use a printed & laminated copy instead in place of physical animal toys/mini erasers, food, or items.)
79 Printable animals and visual menu
104 printable food & drink items and visual menu
95 printable random accessories/items and visual menu
31 printable seasonal accessories/items and visual menu
Vacations and Stamps
88 Vacation “scene backgrounds” that fit 4x6 containers and visual menu (can be stored on key ring)
Vacation “passport stamps”
⭐ Click here to follow me on TPT so that you can see when I have sales, post new resources, and updates! Follow me to see all new products listed for 50% off the first 24 hours!
❤️ Connect with me! I would love to hear from you, or see my resource being used in your class if you or your students love it! I am also available if you need help, or have comments or questions.
Instagram: @PrimaryIsland
Facebook: Primary Island
Email: primaryisland@gmail.com
TPT: Follow me!
⭐ Feedback on TPT is greatly appreciated! Leaving reviews on TPT also helps you earn $ credits for your future TPT purchases.","PreK: 3, K: 19, 1st: 34, 2nd: 17, 3rd: 8, 4th: 2, 5th: 1","4.9","77","12.00","https://www.teacherspayteachers.com/Product/Desk-Pets-Shop-Classroom-Management-Behavior-Incentive-Reward-System-Money-Unit-7247075"
"Whole Class Behavior Management Chart and Incentive System Build-a-Reward Scenes","Stop spending precious teaching time correcting unwanted behavior and reclaim control of your classroom with this low-prep and engaging whole class reward system. End the classroom chaos when you add these incentive charts to your classroom management plan. So often it feels like nothing you try se...","Stop spending precious teaching time correcting unwanted behavior and reclaim control of your classroom with this low-prep and engaging whole class reward system. End the classroom chaos when you add these incentive charts to your classroom management plan.
So often it feels like nothing you try seems to work for more than a week or two before students lose interest. Our Build-a-Reward Behavior Charts are the solution. This whole class behavior system is low-prep, engaging AND it really works!
Students will love adding pieces to the scene on each chart and you'll love how motivating they are at promoting positive behavior!
**This is the scene version of the Build-a-Reward Charts. The Character version can be found here.
These low-prep Build-a-Reward behavior charts will:
hold students accountable with a visual behavior tracker
motivate students to make positive behavior choices
help your students stay focused on learning
stop the interruptions to your teaching
and save your sanity
►How do these charts work?
Print, laminate (optional), and cut out the pieces.
Choose a reward using the picture cards
Set a behavior goal using the picture cards
Add a piece to the chart when you catch your students demonstrating the behavior goal.
When the chart is complete, the class earns a reward!
Each pack includes multiple behavior chart options as well as visuals to use to choose a behavior of focus and reward choices.
► What's included in this bundle?
A PDF with 28 printable themed boards and corresponding pieces
35 Behavior Goal Pictures
35 Reward Choice Pictures
BONUS: Customizable Reward and Behavior Picture Cards (must have PowerPoint to edit)
► What scenes are included?
School Bus
Apple Tree
Apple Truck
Candy Corn
Pumpkin Pie
Gingerbread Cookies
Christmas Tree
Hot Chocolate
Penguins
Heart Chocolate Box
Lucky Cereal Bowl
Bird Nest with Eggs
Bunny with Carrot Garden
Frogs on a Pond
Fish Bowl
Pirate Map
Jellyfish
Butterflies
Cupcakes
Gumballs
Donuts
Pizza
Cow
Giraffe
Ladybug
Kites
Spring Tree
Dinosaur Prints

♥ Click Here to Follow Me and be the first to know about new products and freebies! Most new products are 50% off for the first 48 hours! ♥
★★★ Please leave feedback for this product. Your comments are appreciated and you earn TPT credits toward a future purchase for every feedback you leave! ★★★
→ You can contact me with any questions or concerns at TeachingExceptionalKinders@gmail.com
© Amy Murray - Teaching Exceptional Kinders","PreK: 8, K: 11, 1st: 8, 2nd: 6, 3rd: 1","4.81","27","19.00","https://www.teacherspayteachers.com/Product/Whole-Class-Behavior-Management-Chart-and-Incentive-System-Build-a-Reward-Scenes-11169417"
"Tattle Tongue Form Tattling vs Reporting Telling Classroom Behavior Management","Telling vs. Tattling Posters and Forms - Put an end to tattling in your classroom and help students get back on task with our Telling vs. Tattling posters and forms. Designed to encourage students to try solving their own problems, these resources are perfect for fostering independence and problem-s...","Telling vs. Tattling Posters and Forms - Put an end to tattling in your classroom and help students get back on task with our Telling vs. Tattling posters and forms. Designed to encourage students to try solving their own problems, these resources are perfect for fostering independence and problem-solving skills in young learners.
By implementing these Telling vs. Tattling posters and forms, you'll help create a more harmonious and productive classroom environment. Empower your students to become proactive problem-solvers and reduce the frequency of unnecessary tattling.
✅ What's included: ✅

Telling vs. Tattling Posters:
Two informative posters that clearly distinguish between telling and tattling.
Both posters can be printed on standard 8.5 by 11-inch paper, making them easy to display in any classroom setting.
Tattle Forms:
Small Tattle Forms: Eight forms per page, perfect for quick and discreet reporting.
Larger Tattle Forms: Four forms per page, providing more space for students to write.
Appropriate For:
Grades Pre K, Kindergarten, 1st Grade, 2nd Grade, and 3rd Grade.
Suitable for preschool, kindergarten, first, second, and third-grade classrooms.
✨ Benefits: ✨
Promotes Problem-Solving:
Encourages students to try resolving minor issues on their own before seeking adult intervention.
Reduces Classroom Disruptions:
Helps minimize unnecessary tattling, allowing teachers and students to stay focused on learning.
Teaches Conflict Resolution:
Provides a clear framework for students to understand when it is appropriate to seek help from a teacher.
✏️ How to Use:✏️
Print and Display Posters:
Print the Telling vs. Tattling posters on standard 8.5 by 11-inch paper.
Display them in a prominent location in your classroom where all students can see them.
Introduce the Concept:
Explain the difference between telling and tattling to your students using the posters as visual aids.
Discuss examples of situations that constitute telling versus tattling.
Provide Tattle Forms:
Distribute small or larger tattle forms as needed.
Instruct students on how to fill out the forms when they feel the need to report an issue.
Encourage Self-Resolution:
Remind students to try solving their problems independently whenever possible.
Use the posters as a reference to reinforce the concept during classroom discussions.
◼️ If you like this, you might also like the links below:◼️
Tattling Posters (in Spanish)
Classroom Rules and Behavior Chart Pack!
Number Writing Books
Chevron Labels!
Labels ~ Word Wall Labels!
Sentence Building ~ Throughout the Year~ Bundle
Sight Words Progress Monitoring Thermometers!
Nonfiction ~Throughout the Year~ Mini Books and More! K and 1st
Valentine's Day Big Value Pack
St. Patrick's Day Value Pack!

⭐⭐⭐⭐⭐ WE STRIVE FOR 5 STARS! ⭐⭐⭐⭐⭐
NEED HELP? Before leaving feedback:
Visit the FAQs section
submit a help ticket
ask a question on the Q&A tab
✨ Customer Tips: ✨
Stay updated on discounts, freebies, and product launches by following our store.
One purchase grants access for one teacher or homeschool parent; for sharing, kindly purchase an additional license.
Only to be printed or placed on password-protected websites like Google Classroom™ or SeeSaw and not made available on public platforms or district servers.
Leave feedback on your purchases to earn TPT credits for future savings! Your insights help us tailor our resources to better serve your classroom needs.
✏️ Connect with Peas in a Pod Lessons! ✏️
Follow us by clicking the green star FOLLOW above. You'll receive in app notifications when we post new resources!
We appreciate all you do for your students!
Melissa (Peas in a Pod)
Copyright: Copying any part of this product and placing it on the internet in any form (even personal/class website) is forbidden and is a violation of the Digital Millennium Copyright Act (DMCA). In purchasing this resource, you are agreeing that the contents are the property of Peas in a Pod and licensed to you only for classroom/personal use as a single user. I retain the copyright, and reserve all rights to this product. Thank you!","PreK: 6, K: 9, 1st: 15, 2nd: 19, 3rd: 7, 4th: 7, 5th: 3","4.94","398","2.70","https://www.teacherspayteachers.com/Product/Tattle-Tongue-Form-Tattling-vs-Reporting-Telling-Classroom-Behavior-Management-1695886"
"Winter January Classroom Management Behavior Bingo - Game - Plan","Classroom management can be a doozy! I wanted something fun and engaging to help my students stay engaged and focused. I love changing up what I use in my classroom to help my students manage behaviors. These classroom bingo boards are perfect!A Google Slides DIGITAL version is now included! :)For t...","Classroom management can be a doozy! I wanted something fun and engaging to help my students stay engaged and focused. I love changing up what I use in my classroom to help my students manage behaviors. These classroom bingo boards are perfect!
A Google Slides DIGITAL version is now included! :)
For the entire bingo bundle with TONS of themes click HERE.
Included:
-general classroom bingo boards with 5 different prizes filled in
-general classroom bingo boards editable PDF (type in your own prize)
-transitions bingo board editable PDF (type in your own prize)
-kindness bingo board editable PDF (type in your own prize)
-teamwork bingo board editable PDF (type in your own prize)
-homework bingo board editable PDF (type in your own prize)
-participation bingo board editable PDF (type in your own prize)
-on task bingo board editable PDF (type in your own prize)
-no blurts bingo board editable PDF (type in your own prize)
-blank bingo board bingo board editable PDF (type in your own topic & prize)
-individual bingo boards of all above plus table group bingo boards editable PDF (type in your own prize)
-bingo cards
-how to use/set up
Bingo boards have the same icon pictures, but they are different orders for each bingo topic
Please let me know if you have any questions! teachcreatemotivate@gmail.com
Looking for more classroom management tools? Here are my favorites!
Class Slides with Timers
Classroom Connect
Student Goal Cards","K: 31, 1st: 57, 2nd: 64, 3rd: 73, 4th: 52, 5th: 36, 6th: 6","4.9","410","4.75","https://www.teacherspayteachers.com/Product/Winter-January-Classroom-Management-Behavior-Bingo-Game-Plan-5037698"
"Voice Level Chart Volume Noise Posters Signs Numbers Behavior Management Visuals","Volume Posters Signs Numbers Help student understand proper noise levels for behavior management. These voice level chart visuals will work wonders in your classroom. Posters and signs are effective at levels kindergarten through 12th grade. This numbers tool is useful for both general education...","Volume Posters Signs Numbers
Help student understand proper noise levels for behavior management. These voice level chart visuals will work wonders in your classroom. Posters and signs are effective at levels kindergarten through 12th grade. This numbers tool is useful for both general education students and students with learning disabilities including autism.
The volume control allows teachers and students to monitor their speaking level in the classroom room or throughout the school. Pictures, colors, and numbered levels provide simple, structured explanations for the various types of volume. Also include is a large volume control chart to post at the front of your classroom. Each of the 5 levels (yelling, loud, inside voice, whisper, and no talking) are printed on a full sheet of paper.
A ""printer friendly"" version is included for the Volume Control monitors. To accommodate all learners the Volume Control is leveled with both one through 5 and zero through 4. Use whichever version works best for your students.
This Classroom Noise Management set includes
☆ Volume Control Monitor with printable arrows (4 versions)
☆ Noise Control Monitor with printable arrows (3 versions)
☆ Voice Tone Monitor with printable arrows (3 versions)
☆ How to Directions
Because I've had several students with autism effectively use the volume control monitor to control their talking or shouting, but will continue to make distracting noises (humming, whistling, or general grunting), I created a ""Noise Level Monitor."" This has greatly helped decrease the amount of undesired noises in the classroom.
Also included is a ""Voice Tone Monitor"" that allows you to teach appropriate and inappropriate voice tone. This helps students process what the sound/tone of their voice means and helps them correct any tone issues which can increase positive socialization, peer interactions, and general well being. My classroom's overall positivity has increased and adult and student stress levels have decreased. Please see my preview file for examples!
Freebie Alert for all teachers of students with special needs IEPs or 504s in your classroom! Click here to get IEP Documents checklists with tips and a student observation template.
Print either the charts for the classroom or the small chart for a student to use in their personal space. I use the small one for students to keep at their work areas, in their folders or even wear on a lanyard around the neck. Glue the printed chart on construction paper or cardstock. Laminate and cut out. Use the supplied arrow and tape it to a clothespin. This allows the teacher to move the arrow to the appropriate volume category. If a clothespin is to cumbersome, use a paperclip to easily move around. Most teachers I've given this to use a magnet or a laminated arrow with sticky tack on the back to indicate the appropriate volume level.
See what happy teachers have had to say about this product:
""I have been using this in my classroom daily since purchase and it is amazing! My students respond to it and I use it during morning circle, I use it on the go, I have the small meters taped to certain students' desks, and it WORKS! Thank you!""
""This tool is SO effective! Love it!
""Not only has this been a great visual but it gives students in my class an opportunity to take responsibility and become self aware of their volume.""
""This helped in so many ways! I cannot thank you enough for creating this great product!""
""Needed this desperately for one of my students and it has worked well! Thanks.""
Related Products
⭐ Autism Visual Monitor MEGA Bundle: Teach Appropriate Behavior (Aspergers, ED)
⭐ Social Story MEGA Set: G-R-O-W-I-N-G BUNDLE for Autism + Special Needs
⭐ Autism Classroom Mega Bundle: Set up, Organize, & Manage; Visuals, Schedules
⭐ Effective Behavior Management Bundle:Printables for Autism, Aspergers, ADD, ADHD
Please remember to FOLLOW ME on TPT for product updates and sales. Then review and rate this product to receive TPT credits!
Interested in tips on special education, autism, behavior management & all things teaching?
Of course, you are!
Check out Caroline’s blog at www.celavora.com.
Follow me on Facebook at Caroline Koehler's TPT store for tips, tricks, and educational fun!","Early Childhood: 2, PreK: 3, K: 9, 1st: 11, 2nd: 13, 3rd: 9, 4th: 4","4.91","127","3.50","https://www.teacherspayteachers.com/Product/Voice-Level-Chart-Volume-Noise-Posters-Signs-Numbers-Behavior-Management-Visuals-869021"
"Behavior Management Documentation with Tracking Sheets and Token Boards Bundle","Managing and documenting classroom and student behaviors is likely the biggest challenge facing all educators today. Do you have a student who demonstrates challenging behaviors? These data collection tracking forms and behavior charts are helpful for both classroom teachers and special educators.","Managing and documenting classroom and student behaviors is likely the biggest challenge facing all educators today. Do you have a student who demonstrates challenging behaviors? These data collection tracking forms and behavior charts are helpful for both classroom teachers and special educators.
These resources are intended to make dealing with, documenting, and teaching positive behaviors easier for both special and regular education teachers. These documentation tools and social skills strategies can be used in any classroom setting. These tools are ideal for teachers teaching students with autism, ADHD, or students with other behavioral concerns.
►►►Need more classroom management tools? Click here to save big and get this bundle AND everything else you need inside the Classroom Management Mega Bundle!
Products included in this bundle:
Behavior Documentation Forms With Editable Templates
Strategies & Accommodations Checklists
Self-Regulation for Young Learners
Visual Reward Choice Menu Behavior Charts
Winter Token Boards & Reward Charts
Individual Behavior Charts with Editable Templates
Winter Individual Reward Charts and Sticker Charts
Spring Individual Reward Charts and Sticker Charts
Positive Office Referral Forms
♥♥ Click Here to Follow Me and be the first to know about new products and freebies! Most new products are 50% off for the first 48 hours! ♥♥
★★★★★ Please leave feedback for this product. Your comments are appreciated and you earn TPT credits toward a future purchase! ★★★★★
➜ Please contact me with any questions or concerns at TeachingExceptionalKinders@gmail.com.
Created by © Amy Murray - Teaching Exceptional Kinders 2023","PreK: 5, K: 15, 1st: 11, 2nd: 8, 3rd: 6, 4th: 1","4.95","81","27.00","https://www.teacherspayteachers.com/Product/Behavior-Management-Documentation-with-Tracking-Sheets-and-Token-Boards-Bundle-2896658"
"Expected Behavior & Logical Consequence Behavior Management Support","As teachers, we know that consistency and following through is KEY when it comes to behavior management in our classrooms! This tool is not only perfect to help roll out Expected Behaviors and set a tone for the year, but it is a great kid-friendly reference tool to keep handy in the classroom when ...","As teachers, we know that consistency and following through is KEY when it comes to behavior management in our classrooms! This tool is not only perfect to help roll out Expected Behaviors and set a tone for the year, but it is a great kid-friendly reference tool to keep handy in the classroom when expected behaviors are not met. It will also help hold YOU the teacher accountable and make sure you follow through with the logical consequences. The best part is, it's TOTALLY EDITABLE TOO! I've provided what I use for expected behaviors in different areas along with logical consequences, but you can easily create your own to fit your teaching style.
At the beginning of the year I present this as a power point. It helps give kids a clear sense of what will happen if expected behaviors are not followed. You could present one or two a day for the first few days of school or all at once. Then you could hang them in your classroom for continual reference.
I like to keep them in a binder in page protectors. When a child is not following expected behaviors I pull it out and flip to the correct page. Using it as a reference tool reminds kids that these logical consequences are put in place for a reason and you are going to follow through with them.
I also store the binder in my classroom library. This helps make it accessible for kids to reread in their spare time. Also, having it out constantly on display in a place where kids can see it will remind them of expectations and consequences daily.
Get ready to have your sanity saved with this behavior management resource!!
Expected Behaviors & Logical Consequences discussed:
sitting, listening and participating in class
traveling in the hallways
homework
classwork
how we talk to one another
respectful whole body listening
how we treat classroom materials
calm and safe body
recess
lunch
bathrooms
going to specials
dismissal procedures
**ALSO the ability to edit and create your own :)
***************************************************************************
Customer Tips:
How to get TPT credit to use on future purchases:
• Please go to your My Purchases page (you may need to login). Beside each purchase you'll see a Provide Feedback button. Simply click it and you will be taken to a page where you can give a quick rating and leave a short comment for the product. I value your feedback greatly as it helps me determine which products are most valuable for your classroom so I can create more for you. ☺
Be the first to know about my new discounts, freebies and product launches:
• Look for the red star near the top of any page within my store and click it to become a follower. You will now receive customized email updates about this store. ☺","PreK: 6, K: 18, 1st: 22, 2nd: 24, 3rd: 19, 4th: 14, 5th: 7","4.86","154","6.00","https://www.teacherspayteachers.com/Product/Expected-Behavior-Logical-Consequence-Behavior-Management-Support-3892343"
